name,city,province,country,governing_body,org_type,id
"100 Mile House Jr Wranglers","100 Mile House","BC","CA","NCD","association","d82e82e0-e6c7-4b61-85d6-1a143dafde6d"
"3C's Coyotes","Coronation","AB","CA","CAHL","association","fc228e45-bb10-4366-85d2-68b1200c7bed"
"495 Stars","Marlborough","MA","US","PHL","association","f62ca857-6459-44c0-83a4-13ccd12f81ca"
"95 Giants","Attleboro","MA","US","E9HL","association","862438ac-95b1-41c6-b9cc-ee494bdd9d57"
"Abbotsford Hawks","Abbotsford","BC","CA","PCAHA","association","dd91c0c0-bb88-4c4e-a3b4-cfb597d3196b"
"Abbotsford Ice","Abbotsford","BC","CA","PCAHA","association","956af79a-5efa-466a-b2e4-fee9afa4c922"
"Aberdeen Cougars","Aberdeen","SD","US","SDAHA","association","1734f3c8-6861-4a49-85b3-ce853ca7bed7"
"Aberdeen Flames","Aberdeen","SK","CA","SVMHL","association","c300a7f2-3d2d-4213-8bed-93ad23590733"
"Acadia Axemen","Wolfville","NS","CA","CMHF","association","c3ecb0b0-848f-4791-bab3-4ab34538ba40"
"Acton Vale Valois","Acton Vale","QC","CA","Estrie","association","15aef14e-edbd-46bc-9e57-9acc4cfcda01"
"Acton-Boxboro Colonials","Acton","MA","US","MYCGL","association","d1d53edb-aea9-46ef-93ba-3e8d2d4135fc"
"ADHL Bucks","Mesa","AZ","US","AZYHL","association","7e778965-351e-4fb9-8e6c-690967f36e2e"
"Adirondack 46ers","Malone","NY","US","NGHL","association","b8c32a34-dc67-4505-904f-97fe54758833"
"Adirondack Thunder","Glens Falls","NY","US","MVHL","association","054570d9-8bb7-41ed-9451-9d81f806fb98"
"Adrian Jr Bulldogs","Adrian","MI","US","LCAHL","association","f3d6e7b6-c88c-4849-b1f2-2957b0c07acb"
"Affton Americans","Affton","MO","US","CSDHL","association","bbc9eb96-4cd8-4999-832f-72e542d7e81d"
